"","Dallas","Denton","Ellis","Johnson","Parker","Tarrant"
"2007-01-06",0.97816252,1.12444725,1.07942645,0.70754717,0.51903114,0.50405461
"2007-01-13",0.91297487,1.31125681,0.81335414,0.88682991,1.03199174,0.60962711
"2007-01-20",0.88061652,1.01578586,0.6496493,1.01925255,0.89649552,0.69800147
"2007-01-27",1.18000913,1.43512757,0.44279626,1.02453492,2.05607477,0.84043926
"2007-02-03",1.37199447,1.30304297,0.99454277,0.68654575,1.36612022,0.97067667
"2007-02-10",1.16510298,0.96656512,2.51574835,1.0236367,2.74336283,0.89316024
"2007-02-17",1.11938221,0.82013122,0.95837447,1.50464198,0.68601583,0.91306505
"2007-02-24",0.86129022,0.96089777,1.25061959,0.74232926,0.79485238,0.67942647
"2007-03-03",0.73222207,0.56628914,0.66637819,0.56426332,1.70731707,0.68688653
"2007-03-10",0.68982693,0.80584863,0.63507774,1.21248863,1.36570561,0.51153821
"2007-03-17",0.46855354,0.69151859,0.78792481,0.5592073,1.2946979,0.36699838
"2007-03-24",0.44697003,0.5992045,0.49751244,0.43870339,1.00111235,0.41734258
"2007-03-31",0.49696102,0.75843978,0.58035714,0.28726943,0.390625,0.30448021
"2007-04-07",0.41838134,0.50351288,0.36869449,1.02639296,1.4673913,0.35537129
"2007-04-14",0.57192051,0.74912892,0.68871961,0.82644628,1.60142349,0.50741772
"2007-04-21",0.42750449,0.83770803,0.43524519,0.40802448,0.72595281,0.41878368
"2007-04-28",0.41293663,0.84130219,0.3060306,0.41407867,1.91146881,0.34895271
"2007-05-05",0.33340734,0.53039143,0.7311867,0.3321077,2.84995809,0.26324816
"2007-05-12",0.37995312,0.37009225,0.26243029,0.50498978,0.44767767,0.3341734
"2007-05-19",0.38685748,0.58737151,0.24464832,0.32669407,0.33834586,0.34339665
"2007-05-26",0.37017356,0.81938633,0.30420598,0.40392383,0.5787037,0.2466726
"2007-06-02",0.36084254,0.37780535,0.30846765,0.54909973,0.75282309,0.34016646
"2007-06-09",0.36833358,0.42184725,0.28204895,0.17425651,0.47801147,0.3257938
"2007-06-16",0.27479172,0.54180054,0.1434391,0.23174971,1.16033755,0.25743597
"2007-06-23",0.31006427,0.4255084,0.09468701,0.28623471,1.26373626,0.26717848
"2007-06-30",0.27190225,0.46650494,0.30288089,0.36791759,0.55607044,0.24696789
"2007-07-07",0.33737343,0.43151276,0.15011409,0.40935673,0.37488285,0.24518747
"2007-07-14",0.30098589,0.33237748,0.20563908,0.34852921,0.49115914,0.21973478
"2007-07-21",0.25925746,0.43878623,0.15551236,0.36480212,1.32689988,0.2394894
"2007-07-28",0.3152258,0.40009699,0.11518325,0.19128296,0.35739814,0.25041226
"2007-08-04",0.33256866,0.338812,0.32874228,0.19649123,0.51993068,0.24290771
"2007-08-11",0.31132652,0.30461559,0.22269408,0.23383489,0.8627451,0.21266408
"2007-08-18",0.34469424,0.46816479,0.19926756,0.38617139,0.52083333,0.18588549
"2007-08-25",0.25137379,0.51282051,0.52733345,0.22087245,0.83144369,0.2053691
"2007-09-01",0.38741274,0.37218413,0.48629321,0.28908161,1.11432109,0.24002307
"2007-09-08",0.445691,0.45526079,0.43480096,0.25611838,3.0740276,0.26188867
"2007-09-15",0.43974653,0.37083558,0.27041644,0.54237837,0.5239521,0.35804157
"2007-09-22",0.43332584,0.43213737,0.36640633,0.53078556,1.16959064,0.35673135
"2007-09-29",0.44728423,0.68879855,0.37577365,0.36889026,0.43010753,0.4382498
"2007-10-06",0.41433558,0.43787283,0.28255024,0.76096147,0.62079669,0.40019971
"2007-10-13",0.37171534,0.38738836,0.29783073,0.33717835,0.84283589,0.35895675
"2007-10-20",0.43907816,0.29776084,0.32294833,0.56734993,1.22699387,0.2994826
"2007-10-27",0.6037984,0.63647936,0.51425085,0.6362545,0.40214477,0.34060008
"2007-11-03",0.50670173,0.41071538,0.45071121,0.38464979,0.5109862,0.38827968
"2007-11-10",0.48776181,0.5974478,0.5817847,0.5513639,0.63665302,0.44252033
"2007-11-17",0.46181635,0.51973447,0.56554793,0.66572902,0.91549296,0.44354699
"2007-11-24",0.57837409,0.32855829,0.67189953,0.58715596,0.96575944,0.59354043
"2007-12-01",0.6227075,0.48132909,0.44173054,0.58027079,1.12280702,0.60828077
"2007-12-08",0.45550352,0.69682076,0.46049189,0.78486184,0.65604499,0.47597209
"2007-12-15",0.5932541,0.22913007,0.46103183,0.44189657,0.52790347,0.47619048
"2007-12-22",0.59843399,0.43936731,0.94850299,0.63671312,1.58079625,0.51714281
"2007-12-29",0.70873909,0.50679243,0.59396263,0.98650535,1.17487573,0.71215802
"2008-01-05",0.70635991,0.91445073,0.99646707,0.95147479,0.93201754,0.54303495
"2008-01-12",0.54650439,0.62355658,0.64516129,0.41517267,0.87028595,0.5460829
"2008-01-19",0.50870398,0.58747182,0.83974428,0.92072107,2.02224469,0.5793149
"2008-01-26",0.68400067,0.77239633,0.88683534,0.65075922,1.39390811,0.72576464
"2008-02-02",0.78740936,0.77054291,0.56654341,0.81987733,1.45596591,0.65162228
"2008-02-09",0.78755361,0.75825156,1.40932514,1.14893357,1.63871951,0.6795739
"2008-02-16",0.70437142,0.58139535,1.02172404,1.1767026,1.52705061,0.54443093
"2008-02-23",0.70320374,0.50128169,1.98501051,0.66023002,1.43884892,0.55766335
"2008-03-01",0.56419251,0.59327976,1.75722832,0.75019281,1.28579778,0.4906408
"2008-03-08",0.53452712,0.55252253,1.27762268,0.3282487,1.02420857,0.487206
"2008-03-15",0.52994896,0.43871311,0.35576298,0.46000511,1.96877122,0.36614687
"2008-03-22",0.42307438,0.42122999,0.91366772,0.59790732,0.69284065,0.3303063
"2008-03-29",0.3872736,0.59143969,0.70714039,0.41657841,0.29154519,0.2501133
"2008-04-05",0.37850946,0.31605563,0.82634435,0.29219054,1.48090413,0.2184794
"2008-04-12",0.32898106,0.31247675,0.58452481,0.5756693,0.77084793,0.2023893
"2008-04-19",0.41068801,0.44779832,0.37348673,0.55786968,0.51150895,0.1700741
"2008-04-26",0.31929851,0.54883197,0.55689469,0.33285472,0.67521945,0.18140512
"2008-05-03",0.30819763,0.28032866,0.37218506,0.97077954,1.80102916,0.2117285
"2008-05-10",0.33898651,0.26215937,0.22713507,0.45041971,0.91503268,0.15602478
"2008-05-17",0.29805368,0.31467746,0.23780699,0.53335591,0.52910053,0.21297861
"2008-05-24",0.23272309,0.31218294,0.26624845,0.29909417,3.35731415,0.17318728
"2008-05-31",0.25623259,0.26266897,0.53240906,0.48151715,0.38819876,0.19450132
"2008-06-07",0.28282239,0.17383059,0.23680358,0.25542784,1.25523013,0.11796766
"2008-06-14",0.22841394,0.48050672,0.25203855,0.19245162,0.55463117,0.15297212
"2008-06-21",0.19419607,0.29183626,0.11194197,0.38008117,0.58479532,0.11076192
"2008-06-28",0.17533989,0.37177935,0.28319837,0.35984167,1.42450142,0.11058602
"2008-07-05",0.20157624,0.28253282,0.20751856,0.15950553,0.47058824,0.11310573
"2008-07-12",0.25072228,0.39433148,0.09065596,0.22204279,1.17449664,0.13315257
"2008-07-19",0.17451185,0.25520621,0.2180937,0.24764263,0.34904014,0.08699327
"2008-07-26",0.166357,0.20717131,0.11978521,0.24270162,0.50761421,0.10553053
"2008-08-02",0.19352823,0.31074666,0.13900841,0.20781712,0.39292731,0.09911323
"2008-08-09",0.21159699,0.33464002,0.11413595,0.3642158,0.33057851,0.083973
"2008-08-16",0.17473857,0.40987606,0.11513,0.30706244,0.30181087,0.1218717
"2008-08-23",0.18771528,0.28555111,0.13223894,0.24038462,1.03950104,0.13325734
"2008-08-30",0.24788694,0.25918726,0.18480693,0.15091628,0.61728395,0.12037428
"2008-09-06",0.31814676,0.44938312,0.39393177,0.48806941,2.15175538,0.15718725
"2008-09-13",0.39483865,0.65626783,0.40188311,0.36097742,2.29508197,0.16034421
"2008-09-20",0.42677919,0.55254724,0.19486055,0.52710094,0.77691454,0.22510372
"2008-09-27",0.37996749,0.1883746,0.21597339,0.4386252,0.74728261,0.17063927
"2008-10-04",0.32656387,0.3365924,0.40617728,0.60176408,0.46047583,0.25857536
"2008-10-11",0.29169281,0.32800762,0.46934232,0.40378941,0.62836625,0.2239735
"2008-10-18",0.26238367,0.24860162,0.17531857,0.57142857,1.70940171,0.15248343
"2008-10-25",0.31547852,0.44863683,0.21155706,0.48329049,0.93896714,0.19198747
"2008-11-01",0.33808372,0.34169677,0.12551845,0.3319438,0.36630037,0.19194539
"2008-11-08",0.27940192,0.51915503,0.31093837,0.43118025,0.65789474,0.23190142
"2008-11-15",0.34393972,0.40399745,0.38255948,0.47855697,1.02040816,0.24246362
"2008-11-22",0.46947612,0.33336044,0.34314514,0.64238151,0.37617555,0.31171497
"2008-11-29",0.50281929,0.6719785,0.33270489,0.71428571,1.55239327,0.28366804
"2008-12-06",0.74664584,0.52481959,0.41656888,0.51472102,0.4178273,0.28258602
"2008-12-13",0.44834354,0.32320621,0.44021947,0.77720207,0.65502183,0.31364496
"2008-12-20",0.46704811,0.47027507,0.68526918,0.88449868,0.72376357,0.34583899
"2008-12-27",0.54970703,0.49011027,0.36784025,0.70537168,0.83658673,0.39472659
