"","Season","Year","Week","Estimated_total_flu_US","ILI_per_pop_weighted","Percent_Pos_Labs","US_pop"
"1","1997-1998",1997,40,0,1.10148,0,272650000
"2","1997-1998",1997,41,16651.8943870465,1.20007,0.00727032,272650000
"3","1997-1998",1997,42,28823.6579147328,1.37876,0.0109536,272650000
"4","1997-1998",1997,43,9599.2444083508,1.1992,0.00419413,272650000
"5","1997-1998",1997,44,16662.6334619917,1.65618,0.00527148,272650000
"6","1997-1998",1997,45,7684.543235677,1.41326,0.002849,272650000
"7","1997-1998",1997,46,13763.7128604864,1.9868,0.00362976,272650000
"8","1997-1998",1997,47,42414.7598806455,2.44749,0.00908014,272650000
"9","1997-1998",1997,48,54773.58319711,1.73901,0.0165031,272650000
"10","1997-1998",1997,49,56786.1835183758,1.93919,0.0153433,272650000
"11","1997-1998",1997,50,138287.958999566,2.28166,0.0317563,272650000
"12","1997-1998",1997,51,341047.953306596,2.50761,0.071261,272650000
"13","1997-1998",1997,52,989270.989964768,4.11352,0.126008,272650000
"14","1997-1998",1997,53,1926214.17624798,5.62372,0.179464,272650000
"15","1997-1998",1998,1,1630479.63033037,4.37398,0.193049,275850000
"16","1997-1998",1998,2,1694606.99130041,4.19434,0.209235,275850000
"17","1997-1998",1998,3,2681232.02203711,5.42123,0.256133,275850000
"18","1997-1998",1998,4,3068387.63894263,5.66137,0.280684,275850000
"19","1997-1998",1998,5,3084081.42433154,5.97802,0.267176,275850000
"20","1997-1998",1998,6,2228866.52188536,4.7358,0.243736,275850000
"21","1997-1998",1998,7,1339147.62403985,3.44581,0.201264,275850000
"22","1997-1998",1998,8,681318.321419295,2.47799,0.14239,275850000
"23","1997-1998",1998,9,310022.774183304,1.65732,0.096876,275850000
"24","1997-1998",1998,10,289019.983810068,1.96952,0.075997,275850000
"25","1997-1998",1998,11,165815.638664965,1.58545,0.0541629,275850000
"26","1997-1998",1998,12,142933.734681167,1.80474,0.0410156,275850000
"27","1997-1998",1998,13,56417.7481076664,1.04624,0.0279263,275850000
"28","1997-1998",1998,14,60012.684939816,1.4004,0.0221932,275850000
"29","1997-1998",1998,15,44222.5476039974,0.79687,0.0287399,275850000
"30","1997-1998",1998,16,20463.1935694083,0.717097,0.0147783,275850000
"31","1997-1998",1998,17,25055.638581645,1.00238,0.012945,275850000
"32","1997-1998",1998,18,24575.5486680149,0.908403,0.0140105,275850000
"33","1997-1998",1998,19,7417.09127591032,0.443014,0.00867052,275850000
"34","1997-1998",1998,20,11838.6428482345,0.638986,0.00959488,275850000
"35",NA,1998,21,0,0,0,275850000
"36",NA,1998,22,0,0,0,275850000
"37",NA,1998,23,0,0,0,275850000
"38",NA,1998,24,0,0,0,275850000
"39",NA,1998,25,0,0,0,275850000
"40",NA,1998,26,0,0,0,275850000
"41",NA,1998,27,0,0,0,275850000
"42",NA,1998,28,0,0,0,275850000
"43",NA,1998,29,0,0,0,275850000
"44",NA,1998,30,0,0,0,275850000
"45",NA,1998,31,0,0,0,275850000
"46",NA,1998,32,0,0,0,275850000
"47",NA,1998,33,0,0,0,275850000
"48",NA,1998,34,0,0,0,275850000
"49",NA,1998,35,0,0,0,275850000
"50",NA,1998,36,0,0,0,275850000
"51",NA,1998,37,0,0,0,275850000
"52",NA,1998,38,0,0,0,275850000
"53",NA,1998,39,0,0,0,275850000
"54","1998-1999",1998,40,4329.40520440071,1.57733,0.00142146,275850000
"55","1998-1999",1998,41,8696.5937021376,1.3088,0.00344116,275850000
"56","1998-1999",1998,42,4964.32632188304,1.41744,0.00181378,275850000
"57","1998-1999",1998,43,7553.83102113024,1.18272,0.00330761,275850000
"58","1998-1999",1998,44,39558.3734358968,2.33432,0.00877621,275850000
"59","1998-1999",1998,45,22091.0236949314,1.81577,0.00630063,275850000
"60","1998-1999",1998,46,16417.3270774117,2.17975,0.00390054,275850000
"61","1998-1999",1998,47,38331.6640274988,2.1124,0.00939746,275850000
"62","1998-1999",1998,48,46206.8810126469,2.04854,0.0116813,275850000
"63","1998-1999",1998,49,69045.4757594448,1.93248,0.0185033,275850000
"64","1998-1999",1998,50,63620.0438204772,1.90468,0.0172982,275850000
"65","1998-1999",1998,51,185890.746636013,2.55983,0.0376076,275850000
"66","1998-1999",1998,52,455673.650694935,3.99108,0.0591279,275850000
"67","1998-1999",1999,1,566142.796999736,3.08581,0.0939274,279040000
"68","1998-1999",1999,2,1200416.84478679,4.16383,0.147596,279040000
"69","1998-1999",1999,3,2212273.06854328,5.58049,0.202956,279040000
"70","1998-1999",1999,4,2264928.24825487,5.25328,0.220729,279040000
"71","1998-1999",1999,5,3599686.80183491,6.74667,0.273156,279040000
"72","1998-1999",1999,6,4184579.56977285,7.57188,0.282933,279040000
"73","1998-1999",1999,7,3424544.99208228,6.87287,0.255094,279040000
"74","1998-1999",1999,8,3129433.23770005,6.35098,0.252267,279040000
"75","1998-1999",1999,9,2470830.85322877,5.41099,0.233777,279040000
"76","1998-1999",1999,10,1829730.5865216,4.55008,0.205875,279040000
"77","1998-1999",1999,11,1177458.29397594,3.85915,0.156203,279040000
"78","1998-1999",1999,12,837556.586692761,2.99601,0.143122,279040000
"79","1998-1999",1999,13,319139.101482593,1.97814,0.0825959,279040000
"80","1998-1999",1999,14,180841.963903229,1.16887,0.0792079,279040000
"81","1998-1999",1999,15,137700.278878525,1.09302,0.0644974,279040000
"82","1998-1999",1999,16,32546.2326058563,0.633169,0.0263158,279040000
"83","1998-1999",1999,17,31569.3374070897,0.639561,0.0252708,279040000
"84","1998-1999",1999,18,52591.8776492749,1.55531,0.0173116,279040000
"85","1998-1999",1999,19,17733.6586377216,0.80802,0.011236,279040000
"86","1998-1999",1999,20,29646.309952663,1.33997,0.0113269,279040000
"87",NA,1999,21,0,0,0.0292887,279040000
"88",NA,1999,22,0,0,0.0103093,279040000
"89",NA,1999,23,0,0,0,279040000
"90",NA,1999,24,0,0,0,279040000
"91",NA,1999,25,0,0,0,279040000
"92",NA,1999,26,0,0,0,279040000
"93",NA,1999,27,0,0,0,279040000
"94",NA,1999,28,0,0,0,279040000
"95",NA,1999,29,0,0,0,279040000
"96",NA,1999,30,0,0,0,279040000
"97",NA,1999,31,0,0,0,279040000
"98",NA,1999,32,0,0,0,279040000
"99",NA,1999,33,0,0,0,279040000
"100",NA,1999,34,0,0,0,279040000
"101",NA,1999,35,0,0,0,279040000
"102",NA,1999,36,0,0,0,279040000
"103",NA,1999,37,0,0,0,279040000
"104",NA,1999,38,0,0,0,279040000
"105",NA,1999,39,0,0,0,279040000
"106","1999-2000",1999,40,17323.5240728847,0.831219,0.0106698,279040000
"107","1999-2000",1999,41,29137.2433688448,1.40445,0.0106213,279040000
"108","1999-2000",1999,42,57665.9582924544,1.31721,0.022413,279040000
"109","1999-2000",1999,43,71149.1163462016,1.38161,0.0263645,279040000
"110","1999-2000",1999,44,108204.63172331,1.41607,0.0391198,279040000
"111","1999-2000",1999,45,166580.949072886,1.48438,0.0574534,279040000
"112","1999-2000",1999,46,240603.140781302,1.52614,0.0807128,279040000
"113","1999-2000",1999,47,382191.712389939,1.85336,0.105574,279040000
"114","1999-2000",1999,48,623535.150272025,2.32907,0.137061,279040000
"115","1999-2000",1999,49,1008729.20381901,2.70254,0.19109,279040000
"116","1999-2000",1999,50,1597286.63158472,3.50454,0.233339,279040000
"117","1999-2000",1999,51,3270361.21847429,5.40799,0.309596,279040000
"118","1999-2000",1999,52,4040443.64947579,7.04228,0.293732,279040000
"119","1999-2000",2000,1,3337772.04104684,6.76846,0.249674,282160000
"120","1999-2000",2000,2,2325972.07312315,5.52808,0.213028,282160000
"121","1999-2000",2000,3,1256995.69916404,3.80508,0.167254,282160000
"122","1999-2000",2000,4,854319.96283391,3.41177,0.126779,282160000
"123","1999-2000",2000,5,505281.518784,2.4,0.106593,282160000
